t,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,RT1,RT2,RT3,RT4,RT5,RT6,RT7,RT8,RT9,RT10,RT11,RT12,RT13,RT14,correct
93,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,3,4,1,4,3,1,3,1,2,2,2,2,811,217,840,482,109,416,470,1329,854,596,1324,935,1265,889,1
94,2,2,2,2,2,2,1,2,2,1,2,2,1,2,3,3,1,3,2,2,1,1,4,1,2,2,3,3,555,441,695,530,197,559,733,1097,1246,572,652,1543,609,722,2
95,2,2,2,2,1,2,2,1,2,1,2,2,2,2,3,3,3,3,1,2,2,2,3,2,2,2,3,2,1018,456,448,426,134,735,981,969,654,716,1228,942,1194,658,2
96,2,2,2,1,1,1,2,1,2,1,2,2,1,2,1,3,1,1,1,4,2,3,2,3,2,2,2,2,1146,696,1336,1259,758,463,1005,641,1222,812,1235,894,1529,890,2
97,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,3,2,2,3,3,2,1,2,2,1,2,3,1,1178,552,1576,1202,173,519,885,696,1686,788,899,910,993,865,1
98,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,4,2,2,1,4,3,1,3,2,3,3,2,3,714,392,624,442,805,432,477,1121,918,1149,595,710,809,673,2
99,2,1,1,2,-1,1,1,1,1,2,2,2,1,2,2,2,2,2,3,3,1,1,2,2,1,2,4,2,635,833,984,1026,0,568,1198,969,854,932,1148,1390,737,801,1
100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,4,2,4,3,4,2,2,2,3,2,2,675,497,888,410,853,848,573,561,1638,924,1244,831,1417,1002,1
101,2,2,2,2,-1,2,1,1,1,2,2,2,1,2,2,3,3,3,-1,2,2,3,2,2,2,2,3,3,723,473,911,626,0,575,749,649,863,972,1164,647,793,610,1
102,2,1,1,2,-1,1,2,1,1,1,2,2,1,2,3,2,3,2,1,2,3,3,2,3,2,2,3,2,914,984,784,1322,0,519,573,513,886,732,715,1911,722,810,2
103,1,2,2,2,-1,2,2,1,2,2,2,2,1,2,1,4,1,3,3,4,2,2,3,2,2,3,4,1,1698,512,224,403,0,719,781,625,918,716,675,758,858,650,2
104,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,3,2,3,4,3,3,3,2,2,2,1,2,1,1146,512,584,826,469,664,429,624,1134,1044,787,790,857,853,1
105,1,1,2,1,1,1,1,2,2,2,2,1,2,2,3,1,2,3,3,4,2,3,3,2,1,2,2,1,538,960,696,882,69,592,566,681,998,1061,1099,1726,753,1125,1
106,1,1,1,1,2,2,1,2,1,2,2,2,2,2,3,2,1,2,2,2,1,3,2,2,1,-1,3,1,498,497,1088,1402,277,704,1014,537,846,828,1124,918,1009,993,1
107,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,4,2,1,2,4,3,4,3,3,2,3,4,2,531,457,968,1442,5,472,469,401,854,756,996,759,1025,742,1
108,2,2,2,2,1,2,1,2,2,2,2,2,1,2,3,3,3,3,2,4,2,3,3,2,2,2,3,3,515,457,887,778,229,495,1853,809,950,828,796,631,729,642,2
109,2,1,2,2,1,1,1,1,2,2,1,1,1,1,2,3,3,3,1,3,2,1,2,2,2,2,3,3,651,528,728,691,198,815,597,761,926,972,755,759,794,1038,1
110,1,2,2,1,2,1,-1,2,1,2,2,2,1,2,2,3,2,1,2,4,2,2,1,2,2,2,3,3,794,528,912,938,358,727,0,1193,1398,1292,1187,1470,1058,858,1
111,2,1,1,2,1,1,1,2,2,1,1,1,1,1,2,3,1,2,1,3,2,2,2,2,2,2,3,2,1618,456,1064,1290,269,816,301,816,766,684,1067,1806,713,797,2
112,2,1,2,1,1,1,2,2,1,2,2,2,-1,1,1,3,2,3,1,4,2,1,2,2,2,2,4,2,1466,457,544,794,357,592,1110,705,934,684,923,1278,0,1429,2
113,1,1,1,2,2,1,2,2,1,1,1,1,2,1,3,3,3,2,-1,4,2,2,2,2,2,3,3,2,426,617,648,730,485,528,990,601,1422,436,716,630,585,1413,1
114,1,1,1,2,1,1,2,2,1,2,1,2,1,2,3,3,2,3,-1,4,1,1,2,2,1,2,3,1,482,521,1600,690,733,720,885,801,1662,564,1852,727,129,666,1
115,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,3,1,2,1,4,3,1,2,2,1,2,3,1,939,497,487,698,221,519,597,945,1030,436,940,647,953,1198,1
116,1,2,1,2,2,1,2,1,2,2,2,2,1,2,3,3,2,1,2,3,3,3,2,1,2,2,4,3,827,528,1360,1211,150,519,941,505,926,932,667,799,529,1214,2
117,2,2,2,2,2,2,2,1,2,2,2,2,2,2,4,4,2,4,2,3,3,4,-1,3,2,2,3,3,531,400,256,418,142,551,773,553,894,844,715,462,834,742,2
118,1,1,1,1,2,1,1,2,2,1,1,1,1,1,4,4,1,2,3,4,3,2,1,3,2,3,3,3,306,528,704,474,46,368,477,705,998,469,683,758,874,789,1
119,2,2,2,2,1,1,1,2,2,1,2,1,1,1,4,2,3,1,1,4,2,1,3,2,2,2,4,1,986,1121,1224,1314,61,560,1222,681,1062,1092,1316,830,586,1029,2
120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,1,4,3,2,3,4,2,3,3,2,339,400,1324,254,1626,507,441,485,1054,260,575,631,614,642,1
121,2,1,1,1,2,2,2,1,1,1,2,2,1,2,3,2,2,2,2,3,2,1,2,2,2,2,2,3,938,584,828,630,217,867,681,732,1062,1764,831,614,478,634,1
122,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,4,3,3,4,3,2,3,3,4,794,553,779,294,81,532,673,725,822,669,703,822,454,625,2
123,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,3,1,2,4,2,3,3,1,1,2,4,3,874,513,452,814,369,1324,698,645,1126,1284,1312,710,789,769,2
124,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,4,4,2,1,3,2,1,2,3,1,931,489,1404,630,121,468,954,973,1030,900,768,791,565,538,1
125,2,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,3,1,4,3,2,2,3,2,1,2,3,1,731,713,796,1158,169,443,585,1245,982,900,1152,1023,557,866,2
126,1,2,1,2,1,1,1,2,1,1,1,1,2,1,3,2,4,3,1,3,2,1,2,3,2,2,3,3,523,528,596,623,194,403,961,1397,1175,1268,999,639,725,714,2
127,2,1,2,2,1,1,1,1,2,1,1,2,1,2,3,2,3,2,4,4,2,2,3,2,1,2,3,2,971,520,884,646,194,491,961,645,942,748,1247,551,797,490,2
128,2,2,2,2,1,2,2,1,2,2,2,1,2,2,3,3,2,3,3,3,3,2,1,2,3,2,2,1,970,240,812,510,833,420,481,789,1414,1069,639,1494,630,834,2
129,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,3,3,3,2,3,3,2,2,1,2,3,3,2,650,481,1147,462,25,588,529,1277,942,676,944,630,862,713,1
130,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,3,1,3,1,-1,3,4,3,538,561,900,238,41,532,562,1701,734,900,896,622,781,569,2
131,1,2,2,2,1,1,1,1,2,1,2,2,1,2,1,3,2,-1,2,3,1,1,-1,1,2,1,2,2,1114,569,868,542,145,500,866,1245,982,1252,896,1518,469,578,1
132,2,1,1,-1,2,1,1,2,2,1,2,2,2,2,3,3,2,1,3,3,1,2,2,2,1,3,3,3,1067,465,1140,0,137,595,1201,813,734,1028,584,1191,797,314,2
133,1,1,1,1,2,1,1,2,1,1,1,1,1,1,3,3,3,2,2,4,3,1,3,3,2,2,3,4,779,496,1300,487,530,475,441,677,775,652,599,663,837,714,1
134,1,1,1,2,2,1,1,2,-1,1,2,1,1,2,1,3,4,1,2,4,1,2,1,3,1,2,3,1,803,488,620,886,146,435,449,820,0,589,1071,1631,1293,714,1
135,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,3,2,1,4,3,2,4,3,2,2,1,2,643,584,524,582,233,372,409,733,710,661,815,975,838,658,1
136,2,2,2,2,1,2,2,1,2,2,2,1,1,2,-1,4,2,3,2,4,3,4,3,4,-1,1,3,4,1466,473,676,566,337,740,426,693,750,612,824,1998,1462,793,2
137,1,1,2,1,1,1,2,1,1,2,2,2,1,2,3,3,2,3,1,3,1,3,3,4,-1,2,3,1,1162,481,460,854,1121,532,802,525,990,636,1232,670,286,1209,2
138,1,2,1,2,1,1,1,1,1,2,2,2,1,1,3,3,2,3,2,2,2,3,2,1,2,2,3,1,594,481,404,350,81,804,546,685,1086,948,640,1670,981,1170,2
139,2,2,2,2,2,1,2,1,2,2,2,2,-1,2,2,2,3,3,3,4,2,3,3,3,2,2,3,2,1267,537,316,551,266,587,929,477,1086,676,776,823,0,890,2
140,1,1,1,1,2,1,1,1,1,2,2,1,2,1,3,3,-1,3,2,3,3,2,3,2,1,2,3,1,595,480,548,559,154,491,673,725,959,852,959,663,1293,890,1
141,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,4,2,3,1,3,2,1,3,3,1,3,4,3,1851,576,708,942,162,684,673,1140,902,341,1287,383,477,1114,1
142,1,1,2,1,1,1,1,1,1,2,2,1,1,2,3,3,2,3,3,3,2,3,2,1,1,2,3,1,1115,528,636,398,233,500,681,813,942,1156,847,543,870,914,1
143,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,1,3,3,2,2,3,-1,2,2,2,4,2,1050,793,796,350,233,572,1130,581,774,668,504,574,822,833,2
